	0	1	2	3	4	5	6	7
cell0	1678	962	182	101	89	103	5369	8890
cell1	3233	1870	418	220	200	182	10504	17332
cell2	2354	1475	299	160	157	162	8022	13173
cell3	2601	1532	308	158	162	171	8555	13755
cell4	1355	812	164	81	74	82	4347	7344
cell5	2918	3474	741	190	0	183	9660	15923
cell6	2643	3117	685	186	0	173	8581	13889
cell7	1620	962	228	108	99	80	5402	8796
cell8	1945	1164	248	113	134	112	6502	10558
cell9	2405	1497	268	157	148	169	8048	13087
cell10	2205	1399	272	162	177	151	7465	12381
cell11	2082	2389	549	141	143	115	6756	11333
cell12	2237	1357	260	134	143	151	7111	11825
cell13	2085	1272	241	155	151	167	6870	11153
cell14	2312	1419	297	133	161	156	7757	12818
cell15	3532	2050	407	220	247	239	11473	18828
cell16	1065	646	124	68	83	73	3463	5554
cell17	2095	1255	283	123	138	156	7092	11393
cell18	2272	1470	286	149	139	133	7752	12747
cell19	2453	1475	306	179	172	186	8042	13440
cell20	2060	1279	265	129	128	121	6495	10856
cell21	1352	773	173	78	67	84	4411	7334
cell22	2455	1474	330	161	169	185	8031	13510
cell23	3761	4420	951	235	223	278	11951	20428
cell24	1426	1750	374	75	91	102	4825	7653
cell25	2911	1758	398	185	171	195	9425	15806
cell26	2085	1181	260	121	136	141	6656	11017
cell27	2200	1328	283	148	142	142	7119	11978
cell28	1660	970	242	118	115	94	5458	8839
cell29	2070	1254	229	113	124	156	6608	11084
cell30	3268	3989	872	212	0	242	10805	17939
cell31	2704	3227	670	173	0	179	8743	14548
cell32	3754	2228	454	260	251	256	12320	20365
cell33	3212	1934	383	202	208	219	10419	17159
cell34	2572	1529	294	198	162	190	8429	13686
cell35	3789	2272	458	269	222	233	12231	20392
cell36	2613	1557	336	161	164	173	8482	13734
cell37	2959	1816	346	201	179	181	9335	15569
cell38	2177	1233	239	130	140	133	6785	11252
cell39	2435	1410	298	133	152	161	7573	12198
cell40	1800	1070	240	128	108	122	6048	9989
cell41	3005	1791	396	202	185	189	9984	16068
cell42	1681	919	217	97	121	112	5135	8675
cell43	2877	3379	730	163	160	204	9231	15070
cell44	2190	2608	524	116	0	144	6956	11535
cell45	3319	1959	443	213	204	206	10325	17150
cell46	2829	3372	677	185	198	195	9148	15003
cell47	3937	4639	916	259	0	254	12536	20664
cell48	2801	1685	356	152	181	196	9051	15186
cell49	1514	829	184	106	85	87	4661	7604
