	0	1	2	3	4	5	6	7
cell0	3236	1957	414	191	209	242	10734	8671
cell1	6345	3896	820	417	426	426	20759	17157
cell2	4907	2939	635	286	317	308	15970	12970
cell3	5232	3077	671	325	343	348	16908	14151
cell4	2777	1598	386	195	158	157	8807	7286
cell5	2927	1807	0	0	0	0	9604	15987
cell6	2566	1577	1	0	0	0	8405	13946
cell7	3194	1983	372	203	200	206	10681	8756
cell8	3981	2368	490	246	257	270	12930	10515
cell9	4883	2902	624	318	310	322	15922	13151
cell10	4635	2745	583	282	309	270	14925	12336
cell11	2046	1242	0	0	0	0	6904	11320
cell12	4398	2678	521	311	295	277	14178	11597
cell13	2121	1279	257	143	140	154	6841	11116
cell14	4714	2911	585	307	331	359	15441	12743
cell15	3537	2024	477	226	220	209	11135	19029
cell16	2105	1293	249	138	139	148	7111	5803
cell17	4273	2479	559	268	305	288	13718	11434
cell18	4824	2833	632	295	297	336	15438	12752
cell19	4974	2948	635	356	365	321	16339	13206
cell20	2042	1262	261	128	141	113	6596	10872
cell21	2673	1635	330	161	165	175	8846	7207
cell22	5030	2932	610	308	310	351	16332	13555
cell23	3818	2210	0	0	0	0	12414	19973
cell24	1471	869	0	0	0	0	4627	7726
cell25	2990	1705	390	186	185	191	9451	15735
cell26	4239	2491	540	259	276	283	13191	11028
cell27	4436	2683	523	256	283	311	14337	11807
cell28	3320	2055	395	213	235	207	10814	8859
cell29	4162	2428	499	257	276	237	13381	10815
cell30	3230	2054	0	0	0	0	10624	17976
cell31	2611	1555	3	0	0	0	8805	14366
cell32	7659	4529	959	511	474	494	24536	20153
cell33	3135	1916	404	225	205	184	10287	17317
cell34	5085	3145	612	331	343	318	16627	13749
cell35	7653	4493	950	500	498	497	24545	20735
cell36	5191	3147	624	315	365	347	16765	13824
cell37	2786	1770	357	195	179	193	9357	15450
cell38	4151	2520	521	259	263	250	13419	11019
cell39	4537	2782	622	322	320	293	15062	12382
cell40	3781	2200	471	239	220	240	12172	9902
cell41	6033	3654	779	370	402	399	19782	16144
cell42	1543	999	209	104	102	118	5374	8627
cell43	2811	1691	0	0	0	0	9222	15504
cell44	2117	1319	0	0	0	0	6984	11531
cell45	6458	3802	816	401	430	403	20855	17388
cell46	2727	1791	0	1	0	0	9210	15403
cell47	3778	2362	0	0	0	0	12577	20602
cell48	5487	3380	693	372	356	346	18193	14980
cell49	2828	1657	335	169	166	186	9227	7690
cell50	4533	2645	610	257	269	322	14611	11856
cell51	3242	1936	393	231	200	202	10541	8568
cell52	1875	1184	251	115	97	128	6276	10408
cell53	3652	2205	418	238	219	204	11336	19076
cell54	5369	3309	739	360	406	353	18073	14348
cell55	3656	2166	487	237	252	241	11962	9905
cell56	3268	2012	437	193	240	226	10982	9060
cell57	2276	1363	1	0	0	0	7349	12465
cell58	3204	1978	411	182	214	219	10297	8385
cell59	3731	2202	482	228	259	224	12106	9890
cell60	4893	2945	643	299	308	350	16407	13111
cell61	6208	3770	781	382	424	424	20680	16857
cell62	2676	1634	328	159	191	163	8816	14579
cell63	2342	1361	300	140	161	171	7532	6220
cell64	4932	2906	616	304	307	318	16205	13366
cell65	4789	2751	573	298	299	287	15047	12394
cell66	2528	1536	2	0	0	0	8250	13562
cell67	3675	2169	463	246	249	234	11992	19404
cell68	2462	1481	329	170	138	162	7952	6644
cell69	3668	2345	446	243	280	261	12401	10083
cell70	2690	1652	323	168	198	159	8743	14304
cell71	2714	1637	348	182	183	186	9323	7771
cell72	7054	4277	940	393	445	484	22615	19066
cell73	4891	3033	670	303	340	364	16171	13609
cell74	5751	3457	748	367	344	378	18955	15678
cell75	1893	1147	0	0	0	0	6273	10403
cell76	5700	3430	679	368	374	374	18661	15238
cell77	6214	3637	795	407	414	407	20011	16470
cell78	2425	1441	292	174	169	157	7863	13175
cell79	4905	2930	613	318	306	321	15727	13162
cell80	2489	1388	0	0	0	0	7868	13140
cell81	3603	2097	461	234	267	250	11519	9475
cell82	2142	1306	0	0	0	0	7003	11552
cell83	4481	2589	490	289	260	287	14146	11674
cell84	5082	2983	664	314	341	356	16643	13382
cell85	6054	3601	734	387	375	423	19985	16089
cell86	3336	2001	385	193	215	204	10774	8781
cell87	4438	2666	546	272	286	306	14194	11641
cell88	3444	2110	1	1	0	0	11316	18902
cell89	3685	2208	504	214	218	240	11845	9827
cell90	3573	2166	460	214	224	220	11428	9501
cell91	4719	2874	592	309	308	341	15624	13038
cell92	5866	3439	758	383	388	364	19077	15583
cell93	4520	2748	588	289	271	300	14809	12337
cell94	3248	2023	419	190	222	199	10839	17933
cell95	5889	3560	694	364	397	392	18977	15787
cell96	5939	3443	725	362	391	396	18638	15663
cell97	5243	3234	674	358	377	345	17248	14227
cell98	9062	5256	1146	581	536	559	29618	23856
cell99	4256	2648	540	281	263	259	13729	11561
cell100	2522	1481	287	177	175	160	8308	6550
cell101	7315	4324	915	453	467	488	23804	19286
cell102	1989	1189	1	0	0	0	6590	10544
cell103	4705	2813	617	268	291	287	15252	12681
cell104	6676	3992	805	416	433	430	21682	17803
cell105	2858	1697	344	194	192	189	9315	7536
cell106	1626	952	0	0	0	0	5166	8351
cell107	2876	1661	350	190	186	164	9109	7716
cell108	1782	1059	0	0	0	0	5790	9687
cell109	5053	3122	599	337	340	357	16808	13728
cell110	2612	1630	316	148	177	163	8526	14196
cell111	4974	2887	649	303	312	346	15993	13255
cell112	2972	1820	387	156	209	179	9677	8162
cell113	2264	1333	302	164	160	156	7543	6294
cell114	4577	2741	541	278	296	310	14916	12477
cell115	3920	2382	508	246	261	271	12891	10647
cell116	2570	1492	0	0	0	0	8388	13959
cell117	2743	1628	0	0	0	0	9138	15049
cell118	4708	2804	592	294	291	311	15197	12673
cell119	5649	3459	702	360	369	393	18319	15395
cell120	4871	2959	621	292	298	298	15860	12964
cell121	5362	3154	643	316	377	338	17185	14326
cell122	3655	2157	457	253	237	266	12074	9887
cell123	4397	2575	533	255	263	289	14008	11540
cell124	4855	2839	576	326	287	330	15580	13059
cell125	5683	3364	709	357	395	371	18429	15689
cell126	1997	1234	0	0	0	0	6641	10727
cell127	5349	3122	665	330	345	334	17156	14423
cell128	1987	1293	1	0	0	0	6684	11062
cell129	4417	2604	516	265	269	299	14383	11876
cell130	5819	3453	711	359	367	362	18886	15434
cell131	2476	1414	320	171	153	155	8231	6689
cell132	3037	1901	418	200	208	206	10283	8443
cell133	2935	1727	401	156	194	171	9441	7836
cell134	1158	674	0	0	0	0	3673	6083
cell135	1869	1119	0	0	0	0	6025	9957
cell136	5576	3316	708	374	348	382	18223	15060
cell137	4203	2483	517	255	282	279	13651	11315
cell138	4857	2863	590	307	315	310	15640	12590
cell139	6050	3888	771	368	414	421	20259	16627
cell140	6681	4148	832	401	416	435	21489	18200
cell141	4447	2616	558	271	291	317	14626	12021
cell142	6796	4021	870	414	438	427	22070	18260
cell143	2290	1375	1	0	0	0	7544	12622
cell144	3672	2232	423	229	246	222	11865	9605
cell145	1907	1077	260	140	123	132	6201	10182
cell146	2948	1727	402	194	178	198	9539	7929
cell147	3440	2027	463	234	212	221	11414	9394
cell148	4044	2512	506	278	260	252	13429	11041
cell149	2839	1762	0	0	2	0	9229	15334
cell150	7565	4377	1021	485	498	485	24488	20283
cell151	2945	1785	359	199	200	187	10078	8153
cell152	5092	3128	649	321	330	315	16571	13676
cell153	3366	2029	381	228	194	178	10884	8925
cell154	5237	3072	694	344	333	366	17019	13921
cell155	2251	1299	0	0	0	0	7230	11613
cell156	2647	1534	354	183	188	155	8676	7096
cell157	6063	3531	734	401	402	411	19466	15957
cell158	1889	1165	0	1	0	1	6148	10121
cell159	3912	2319	527	254	225	268	12642	10571
cell160	1608	989	200	108	108	104	5404	9038
cell161	3712	2154	445	244	234	234	12250	9956
cell162	5107	3083	628	304	349	322	16769	13772
cell163	4282	2557	541	289	257	294	14018	11532
cell164	5033	3006	603	332	344	331	16287	13397
cell165	2523	1539	0	0	0	0	8265	13527
cell166	6696	3925	913	442	446	461	21619	18004
cell167	3976	2480	506	258	262	242	13367	11026
cell168	2872	1733	358	211	179	198	9487	7885
cell169	6136	3641	750	397	446	417	20152	16676
cell170	2121	1228	0	0	0	0	6676	11183
cell171	3154	1910	2	0	0	0	10151	16869
cell172	5169	2992	631	331	339	333	16758	13716
cell173	4371	2608	571	299	302	275	14070	11623
cell174	4993	2968	622	336	318	333	16292	13355
cell175	8019	4716	989	490	578	530	26508	21770
cell176	4040	2480	1	0	0	1	13465	22513
cell177	4592	2864	566	295	321	280	15170	12240
cell178	4630	2797	595	292	337	310	15594	12599
cell179	6152	3705	763	407	439	417	20441	16816
cell180	1820	1070	0	0	0	0	5706	9496
cell181	4977	3002	638	307	287	340	16109	13308
cell182	4540	2606	544	315	301	296	14601	12192
cell183	4874	2844	610	314	299	320	16139	13361
cell184	3527	2112	418	224	221	224	11499	9461
cell185	2890	1702	355	193	185	175	9236	7529
cell186	2483	1461	342	187	172	158	8160	6571
cell187	3327	1948	434	207	223	220	10487	8871
cell188	4154	2408	514	290	249	259	12953	10584
cell189	4179	2518	473	263	249	280	13563	11138
cell190	8049	4909	1056	482	549	518	26052	21764
cell191	3046	1863	0	0	0	0	10124	16677
cell192	3417	2080	424	237	244	189	11236	9103
cell193	4975	3039	623	337	350	318	16232	13419
cell194	3942	2359	492	264	256	283	12997	10782
cell195	2072	1321	1	0	0	0	6819	11287
cell196	4768	2851	617	307	295	321	15450	12850
cell197	5560	3228	683	338	344	327	17587	14594
cell198	1986	1220	1	0	0	0	6635	11043
cell199	6204	3656	823	371	421	409	20261	16592
