	0	1	2	3	4	5	6	7
cell0	4914	2919	596	292	298	345	16103	17561
cell1	9578	5766	1238	637	626	608	31263	34489
cell2	7261	4414	934	446	474	470	23992	26143
cell3	7833	4609	979	483	505	519	25463	27906
cell4	4132	2410	550	276	232	239	13154	14630
cell5	5845	5281	741	190	0	183	19264	31910
cell6	5209	4694	686	186	0	173	16986	27835
cell7	4814	2945	600	311	299	286	16083	17552
cell8	5926	3532	738	359	391	382	19432	21073
cell9	7288	4399	892	475	458	491	23970	26238
cell10	6840	4144	855	444	486	421	22390	24717
cell11	4128	3631	549	141	143	115	13660	22653
cell12	6635	4035	781	445	438	428	21289	23422
cell13	4206	2551	498	298	291	321	13711	22269
cell14	7026	4330	882	440	492	515	23198	25561
cell15	7069	4074	884	446	467	448	22608	37857
cell16	3170	1939	373	206	222	221	10574	11357
cell17	6368	3734	842	391	443	444	20810	22827
cell18	7096	4303	918	444	436	469	23190	25499
cell19	7427	4423	941	535	537	507	24381	26646
cell20	4102	2541	526	257	269	234	13091	21728
cell21	4025	2408	503	239	232	259	13257	14541
cell22	7485	4406	940	469	479	536	24363	27065
cell23	7579	6630	951	235	223	278	24365	40401
cell24	2897	2619	374	75	91	102	9452	15379
cell25	5901	3463	788	371	356	386	18876	31541
cell26	6324	3672	800	380	412	424	19847	22045
cell27	6636	4011	806	404	425	453	21456	23785
cell28	4980	3025	637	331	350	301	16272	17698
cell29	6232	3682	728	370	400	393	19989	21899
cell30	6498	6043	872	212	0	242	21429	35915
cell31	5315	4782	673	173	0	179	17548	28914
cell32	11413	6757	1413	771	725	750	36856	40518
cell33	6347	3850	787	427	413	403	20706	34476
cell34	7657	4674	906	529	505	508	25056	27435
cell35	11442	6765	1408	769	720	730	36776	41127
cell36	7804	4704	960	476	529	520	25247	27558
cell37	5745	3586	703	396	358	374	18692	31019
cell38	6328	3753	760	389	403	383	20204	22271
cell39	6972	4192	920	455	472	454	22635	24580
cell40	5581	3270	711	367	328	362	18220	19891
cell41	9038	5445	1175	572	587	588	29766	32212
cell42	3224	1918	426	201	223	230	10509	17302
cell43	5688	5070	730	163	160	204	18453	30574
cell44	4307	3927	524	116	0	144	13940	23066
cell45	9777	5761	1259	614	634	609	31180	34538
cell46	5556	5163	677	186	198	195	18358	30406
cell47	7715	7001	916	259	0	254	25113	41266
cell48	8288	5065	1049	524	537	542	27244	30166
cell49	4342	2486	519	275	251	273	13888	15294
cell50	6694	3957	888	376	408	481	21987	23598
cell51	4839	2863	588	345	308	303	15709	17173
cell52	3856	2326	480	240	228	252	12735	20964
cell53	7139	4309	865	480	446	421	22912	37940
cell54	8037	4936	1120	530	569	543	26962	28960
cell55	5494	3245	738	350	374	370	18087	19756
cell56	4997	3023	668	314	338	341	16429	18034
cell57	4586	4098	564	156	0	152	14769	24815
cell58	4751	2951	644	284	323	328	15333	16830
cell59	5569	3249	740	340	379	352	18120	19874
cell60	7370	4376	934	470	437	511	24415	26528
cell61	9379	5714	1200	575	612	624	31125	34155
cell62	5370	3256	674	362	382	338	17564	29073
cell63	3471	2008	442	210	241	235	11318	12487
cell64	7419	4442	913	462	479	497	24227	26770
cell65	7073	4123	851	447	453	431	22635	24759
cell66	5084	4610	634	159	156	145	16547	27376
cell67	7222	4270	929	467	510	468	23703	39063
cell68	3701	2188	487	242	215	231	12067	13240
cell69	5516	3521	694	358	410	385	18610	20326
cell70	5455	3193	645	344	355	355	17665	28865
cell71	4143	2480	505	271	263	293	13871	15334
cell72	10522	6297	1391	602	673	693	34064	37900
cell73	7413	4575	988	462	507	499	24270	27338
cell74	8549	5189	1153	539	528	552	28379	31490
cell75	3813	3401	483	119	102	108	12436	20892
cell76	8731	5135	1041	532	562	542	28052	30509
cell77	9271	5508	1180	620	618	611	30057	33111
cell78	4857	2916	624	330	320	316	15680	26217
cell79	7405	4495	915	457	478	485	23667	26029
cell80	4904	4312	623	157	0	155	15917	26233
cell81	5420	3183	705	346	374	359	17204	18901
cell82	4401	3921	548	151	174	139	14012	23251
cell83	6663	3856	770	437	396	415	21175	23257
cell84	7639	4487	986	451	507	511	24718	27072
cell85	9081	5460	1106	580	566	621	29906	32542
cell86	5032	3042	599	292	340	303	16342	17676
cell87	6526	3995	835	414	446	463	21249	23182
cell88	6912	6297	938	198	0	236	22758	37710
cell89	5490	3299	703	320	335	357	17906	19642
cell90	5300	3223	685	365	339	339	17098	18902
cell91	7074	4291	868	456	475	509	23411	26150
cell92	8842	5235	1130	555	578	553	28667	30929
cell93	6861	4091	857	440	418	444	22185	24496
cell94	6636	4076	853	397	440	416	21795	35859
cell95	8716	5339	1093	561	607	593	28376	31369
cell96	8815	5149	1119	547	589	576	28265	31451
cell97	7976	4865	1021	527	560	510	25841	28546
cell98	13566	7920	1723	890	797	844	44200	47863
cell99	6364	3915	803	407	383	382	20706	22980
cell100	3706	2276	448	254	253	246	12528	13575
cell101	11032	6579	1383	700	691	728	35883	38792
cell102	3979	3515	443	115	0	134	13039	21090
cell103	7034	4221	934	392	454	422	22821	25255
cell104	9977	6006	1209	624	642	645	32654	35817
cell105	4284	2513	533	288	276	292	13923	15239
cell106	3221	2841	391	92	0	99	10309	16838
cell107	4349	2562	524	278	289	262	13870	15344
cell108	3619	3227	465	104	0	96	11469	19264
cell109	7707	4652	934	505	509	538	25155	27728
cell110	5199	3300	648	314	377	323	17040	28722
cell111	7458	4353	938	456	500	504	24008	26470
cell112	4503	2690	546	244	298	266	14522	16161
cell113	3342	2047	440	227	239	218	11235	12465
cell114	6906	4113	815	423	439	453	22434	24733
cell115	5918	3580	736	365	387	419	19407	21138
cell116	5225	4619	627	173	0	172	17004	27863
cell117	5504	5000	707	163	0	182	18296	30102
cell118	7050	4162	868	486	442	458	22997	25576
cell119	8523	5166	1040	548	556	584	27682	30534
cell120	7287	4456	919	430	454	455	23779	26050
cell121	8063	4692	976	490	556	504	25740	28595
cell122	5533	3267	669	366	342	380	18205	19764
cell123	6578	3878	800	381	362	414	20961	23230
cell124	7258	4306	868	464	436	478	23383	25895
cell125	8479	5056	1093	533	573	568	27906	31163
cell126	3954	3647	536	123	0	122	13268	21687
cell127	7944	4680	997	507	530	499	25911	28593
cell128	4086	3879	555	142	0	168	13455	22222
cell129	6597	3938	803	410	420	436	21552	23488
cell130	8647	5219	1071	538	569	529	28391	31040
cell131	3750	2182	482	271	239	241	12259	13469
cell132	4553	2862	595	307	320	310	15271	16899
cell133	4393	2577	573	254	293	273	14241	15627
cell134	2279	1982	293	75	0	73	7382	12174
cell135	3728	3278	466	141	117	121	12057	20045
cell136	8409	5097	1056	567	512	577	27572	30160
cell137	6310	3715	783	377	424	415	20405	22552
cell138	7256	4258	910	458	477	480	23575	25467
cell139	9115	5786	1179	556	639	630	30399	33323
cell140	10026	6224	1228	627	632	664	32534	36150
cell141	6747	3953	843	410	440	488	21839	24071
cell142	10217	6009	1292	648	632	633	32949	36413
cell143	4545	4049	571	146	165	143	15067	25002
cell144	5459	3251	645	336	340	338	17541	19144
cell145	3810	2225	522	264	262	240	12472	20405
cell146	4422	2575	589	272	272	296	14465	15733
cell147	5229	3072	687	354	328	334	17119	18827
cell148	6091	3737	764	408	375	394	20047	21977
cell149	5739	5209	697	181	183	179	18659	30784
cell150	11375	6610	1471	747	727	737	36601	40442
cell151	4436	2657	553	287	308	279	14968	16131
cell152	7584	4632	957	498	490	473	24900	27322
cell153	5029	3011	615	331	291	281	16285	17908
cell154	7825	4571	1010	495	500	530	25601	28132
cell155	4333	3976	555	146	0	154	14214	23281
cell156	3980	2298	517	265	280	244	13054	14127
cell157	9045	5298	1093	579	558	615	29349	32005
cell158	3791	3522	483	108	114	135	12265	20320
cell159	5840	3521	758	390	374	388	18959	21141
cell160	3296	1968	410	210	223	207	10750	18010
cell161	5623	3268	679	365	344	372	18352	19973
cell162	7720	4644	956	468	507	490	25177	27689
cell163	6457	3800	829	442	400	424	20907	22962
cell164	7502	4493	914	471	491	496	24588	26699
cell165	5043	4696	643	186	0	199	16478	27095
cell166	10046	5866	1338	657	653	682	32602	35932
cell167	6025	3681	750	400	400	347	20000	21920
cell168	4347	2638	548	302	268	318	14277	15730
cell169	9330	5537	1137	588	657	612	30310	33223
cell170	4224	3741	515	129	130	125	13365	22143
cell171	6340	5697	807	190	0	199	20128	33914
cell172	7676	4508	939	496	521	511	25040	27421
cell173	6550	3922	835	442	432	381	21383	23171
cell174	7547	4494	940	495	490	509	24502	26933
cell175	11908	7220	1495	765	837	785	39829	43532
cell176	8235	7561	1062	279	0	247	27093	44985
cell177	6872	4191	844	413	484	428	22837	24643
cell178	6977	4144	897	450	522	469	23308	25378
cell179	9256	5582	1149	612	637	610	30471	33492
cell180	3576	3225	442	114	0	111	11536	19033
cell181	7425	4483	922	473	436	505	24389	26950
cell182	6799	3977	816	469	455	428	21977	24260
cell183	7418	4386	900	480	458	461	24322	26798
cell184	5295	3147	652	322	327	344	17159	18772
cell185	4333	2592	516	305	275	268	13821	15180
cell186	3703	2195	507	274	252	251	12256	13134
cell187	5015	2913	641	327	338	329	15883	17691
cell188	6084	3616	759	416	399	372	19442	21309
cell189	6242	3818	765	386	378	412	20188	22351
cell190	12040	7322	1609	738	807	779	38860	43281
cell191	6207	5642	734	186	0	192	19991	33700
cell192	5084	3079	646	350	335	282	16731	18139
cell193	7443	4558	920	495	490	495	24370	27007
cell194	5948	3615	706	405	385	399	19516	21621
cell195	4182	3795	524	147	0	148	13513	22594
cell196	7054	4304	917	446	453	466	23336	25573
cell197	8347	4851	1016	498	528	515	26345	29235
cell198	4096	3607	545	131	0	131	13365	21906
cell199	9317	5482	1254	575	620	612	30371	33391
