cell	cell_index	clone_assignment	clone	library_size	allelic_coverage	is_doublet	doublet_clones
cell0	0	3	clone3	100.34580891531228	0.20077717623285699	False	
cell1	1	3	clone3	115.09177932465374	0.18500835873815336	False	
cell2	2	3	clone3	87.46768845461585	0.2083325806864949	False	
cell3	3	5	clone5	109.52714847639861	0.28107425440293105	False	
cell4	4	3	clone3	78.86725380941077	0.2043083819667992	False	
cell5	5	8	clone8	86.09945770629288	0.16979580443639922	False	
cell6	6	3	clone3	85.62850387792236	0.265069233847789	False	
cell7	7	5	clone5	67.42596614042567	0.21725991919771717	False	
cell8	8	7	clone7	110.50239158105893	0.300685729061064	False	
cell9	9	8	clone8	83.4529841225804	0.2021517977715384	False	
cell10	10	4	clone4	96.13458301292331	0.13372332480120946	False	
cell11	11	4	clone4	110.30061581762246	0.1281999539239992	False	
cell12	12	3	clone3	109.19826765626404	0.3110257008827837	False	
cell13	13	4	clone4	116.44418305403973	0.31773842488967585	False	
cell14	14	3	clone3	93.05306312616385	0.1817312214128674	False	
cell15	15	3	clone3	84.59014114273118	0.17118415436193443	False	
cell16	16	3	clone3	93.5671377708106	0.29419730834207036	False	
cell17	17	5	clone5	58.366774701105705	0.13841324897717727	False	
cell18	18	3	clone3	62.63138133042572	0.14731484740779588	False	
cell19	19	3	clone3	64.96113305729932	0.23138518195905497	False	
cell20	20	3	clone3	71.4736736352934	0.17061133740618198	False	
cell21	21	3	clone3	107.7096532927974	0.19127744033510674	False	
cell22	22	3	clone3	73.42530000972992	0.18259090510252987	False	
cell23	23	3	clone3	85.71842486626245	0.21152158097423346	False	
cell24	24	3	clone3	140.2579587458983	0.28957358008563705	False	
cell25	25	3	clone3	86.27124560423474	0.19672772340639383	False	
cell26	26	3	clone3	118.93613731263143	0.23142675601690343	False	
cell27	27	3	clone3	72.82127690558403	0.1049389989556216	False	
cell28	28	3	clone3	90.17687418842156	0.18884502891475646	False	
cell29	29	3	clone3	72.47143637328438	0.14955878414365864	False	
cell30	30	3	clone3	86.70873769826582	0.13394553930280378	False	
cell31	31	3	clone3	122.5798327144504	0.14803337818138504	False	
cell32	32	8	clone8	57.68565328870889	0.17366759776348734	False	
cell33	33	7	clone7	108.8108340798446	0.2506609467185935	False	
cell34	34	3	clone3	102.70605686027055	0.1297814872919212	False	
cell35	35	3	clone3	80.4521382388203	0.1932956169325605	False	
cell36	36	3	clone3	62.65077463656337	0.1661839913159798	False	
cell37	37	5	clone5	97.83238953034007	0.17399676038952241	False	
cell38	38	3	clone3	81.99376906842316	0.25713429212675293	False	
cell39	39	4	clone4	102.55362727685242	0.22434788164129238	False	
cell40	40	3	clone3	96.39904182514795	0.2836768147667222	False	
cell41	41	3	clone3	153.28518744922346	0.1830705820306376	False	
cell42	42	3	clone3	89.28343828077769	0.1561672176904346	False	
cell43	43	4	clone4	70.9250032001079	0.17938107243820314	False	
cell44	44	3	clone3	100.95850201259917	0.20569941823412338	False	
