	0	1	2	3	4	5	6	7
cell0	2505	1450	309	129	144	168	7867	12614
cell1	2112	1280	284	138	116	145	7112	11668
cell2	2446	1467	312	147	150	151	8103	13299
cell3	3290	3877	826	247	222	212	10826	17975
cell4	2416	1416	295	135	136	155	8041	12995
cell5	1951	2480	507	133	0	154	6567	10746
cell6	3072	1812	394	195	215	193	10208	16679
cell7	2511	3035	660	155	153	171	8024	13829
cell8	3494	4254	882	248	0	211	11482	19038
cell9	2289	2807	598	140	0	147	7900	12826
cell10	1524	958	181	107	102	85	5098	8442
cell11	1494	860	195	98	98	89	4777	8084
cell12	3701	2244	480	231	219	227	11935	19693
cell13	3718	2267	462	228	239	249	12160	20217
cell14	2094	1207	269	136	138	138	6933	11455
cell15	2037	1136	262	125	147	144	6671	10933
cell16	3472	2000	488	220	215	256	11430	18726
cell17	1633	1853	372	91	110	94	5373	8726
cell18	1687	1063	229	121	108	106	5685	9420
cell19	2578	1611	347	185	181	183	9056	14517
cell20	2047	1176	244	116	118	119	6595	10594
cell21	2237	1306	298	167	127	131	7356	12087
cell22	2127	1335	272	133	157	144	7099	11761
cell23	2498	1475	343	148	169	144	8118	13595
cell24	3366	1944	450	195	212	241	11130	18399
cell25	2403	1293	286	168	143	149	7565	12738
cell26	2728	1609	308	191	176	170	9137	14720
cell27	1225	743	145	92	78	95	4171	6688
cell28	2205	1344	247	144	131	160	7195	12206
cell29	1777	1057	240	128	120	124	5820	9344
cell30	1584	906	205	99	101	89	5154	8316
cell31	1750	1014	229	107	112	113	5601	9388
cell32	1952	2404	481	122	0	140	6698	10969
cell33	2924	3599	718	184	0	187	9656	16120
cell34	1468	919	167	92	90	89	4992	8242
cell35	2311	1374	296	168	134	147	7524	12287
cell36	1938	1199	213	135	139	130	6406	10561
cell37	2066	2426	507	133	130	134	6690	10906
cell38	3069	1855	348	197	177	195	10068	16581
cell39	2604	1526	313	163	148	178	8706	13909
cell40	3368	1947	398	232	199	227	11020	17941
cell41	2117	1300	262	136	114	130	7108	11642
cell42	1797	1051	234	124	130	134	6044	9778
cell43	2145	1290	235	129	138	144	6945	11487
cell44	2418	1478	305	156	171	146	7998	13082
cell45	2252	1404	279	169	138	149	7754	12753
cell46	1627	1878	406	110	85	100	5344	8749
cell47	2323	1388	288	151	146	178	7570	12521
cell48	2388	1397	267	149	162	159	7868	12974
cell49	4649	2773	586	298	299	324	15526	25101
cell50	3966	2307	494	238	249	222	12858	21209
cell51	1744	1004	213	124	119	111	5772	9325
cell52	2055	2477	517	118	0	126	6745	11116
cell53	1474	869	171	102	77	80	4919	7831
cell54	1861	2244	439	128	0	132	6197	10237
cell55	2518	1480	338	151	157	165	8234	13441
cell56	3199	1909	391	187	171	189	10545	17568
cell57	1825	1027	242	117	113	109	5876	9845
cell58	1873	1055	218	131	132	113	6172	10173
cell59	1198	1378	310	79	0	82	4040	6460
cell60	2183	1244	283	127	111	137	7058	11516
cell61	1622	965	192	112	109	105	5438	8847
cell62	1931	1187	271	123	104	128	6474	10452
cell63	1717	1007	239	124	118	115	5689	9469
cell64	2216	1307	267	132	144	128	7245	12036
cell65	1311	787	172	87	85	86	4251	7247
cell66	1490	845	175	105	102	102	4835	8088
cell67	4234	2455	521	310	258	284	13703	22662
cell68	1505	885	180	110	103	106	5007	8348
cell69	1609	984	210	96	90	106	5349	8841
cell70	3834	2268	466	255	233	235	12713	20789
cell71	5188	3107	626	378	320	353	17157	28524
cell72	1630	973	192	96	108	106	5221	8719
cell73	2000	2465	486	137	0	114	6535	10910
cell74	2513	1483	345	170	156	166	8241	13455
cell75	3639	2167	418	229	211	239	12192	20112
cell76	1585	1008	201	87	91	105	5444	9202
cell77	2066	1299	269	136	142	141	6942	11448
cell78	2886	1684	360	206	155	198	9471	15185
cell79	2523	1597	365	163	152	161	8423	13743
cell80	2020	1184	257	148	123	140	6479	10858
cell81	2178	1348	319	142	137	151	7144	11699
cell82	1497	1830	379	92	0	121	5036	8073
cell83	2098	1224	284	134	147	134	6931	11337
cell84	2003	1189	257	152	141	141	6747	11272
cell85	2389	1385	302	166	164	174	8124	12986
cell86	1838	1165	234	133	119	126	6373	10244
cell87	2540	1513	325	158	139	170	8471	13971
cell88	2992	1783	385	168	180	188	10170	16560
cell89	2339	2826	584	144	0	144	7663	12592
cell90	2481	1472	281	161	156	138	8189	13254
cell91	2267	1450	268	169	139	160	7501	12359
cell92	2272	1342	263	139	114	155	7548	12221
cell93	1885	1017	221	116	117	106	5976	9771
cell94	2411	2913	614	181	0	155	8188	13279
cell95	2170	1264	275	147	120	127	7195	11843
cell96	4189	2478	524	258	294	258	13628	22537
cell97	3627	2107	454	211	228	222	11833	19432
cell98	2515	3003	606	172	0	144	8259	13542
cell99	1730	1067	226	110	108	133	5812	9810
