	0	1	2	3	4	5	6	7
cell0	4585	2831	584	283	307	313	15411	12691
cell1	4291	2513	560	256	280	267	14209	11687
cell2	4848	2781	622	285	301	292	16099	13259
cell3	3278	2024	0	0	0	1	10928	17754
cell4	4831	2854	617	322	270	304	15799	12938
cell5	1991	1181	1	0	0	0	6508	10779
cell6	6176	3653	782	410	400	400	20417	16610
cell7	2517	1523	0	0	0	0	8414	13797
cell8	3554	2035	1	1	0	0	11546	19081
cell9	2379	1386	0	0	0	0	7757	12836
cell10	3189	1856	376	225	180	214	10330	8640
cell11	3053	1698	378	196	170	193	9900	8057
cell12	7235	4351	930	455	458	451	23903	19746
cell13	7500	4423	934	545	443	474	24310	20109
cell14	4250	2498	529	297	254	246	14187	11675
cell15	4063	2351	486	260	266	278	13143	11025
cell16	6802	4080	854	484	429	421	22546	18655
cell17	1633	934	1	0	0	0	5339	8883
cell18	3435	2007	402	250	204	219	11307	9417
cell19	5413	3137	674	348	368	359	17698	14567
cell20	3967	2423	507	264	251	256	13078	10863
cell21	4430	2676	551	322	277	302	14731	12205
cell22	4243	2513	536	296	269	261	14211	11433
cell23	5045	3077	670	339	294	343	16461	13434
cell24	6755	4024	856	459	414	435	22436	18362
cell25	4669	2813	623	323	266	275	15272	12338
cell26	5316	3123	761	348	366	369	17754	14653
cell27	2437	1407	300	143	157	162	7954	6674
cell28	4450	2695	570	278	282	286	14706	12005
cell29	3541	2066	415	217	241	226	11335	9584
cell30	3111	1883	391	234	188	221	10306	8435
cell31	3378	2064	427	197	220	244	11309	9293
cell32	2027	1218	0	0	0	0	6712	10981
cell33	2852	1793	0	0	0	0	9629	15878
cell34	3114	1792	369	203	183	206	10061	8363
cell35	4557	2729	590	289	307	279	14926	12191
cell36	3937	2402	515	262	223	247	12771	10750
cell37	2022	1243	0	0	0	0	6861	10798
cell38	6024	3610	716	414	346	418	19875	16096
cell39	5390	3057	682	356	333	332	17450	14210
cell40	6751	3965	817	433	438	445	21772	17993
cell41	4360	2530	551	246	244	273	14172	11727
cell42	3627	2182	478	227	217	256	11917	10026
cell43	4289	2497	533	255	230	291	13935	11430
cell44	4772	2821	589	320	339	320	15760	12914
cell45	4712	2891	621	320	294	332	15481	12632
cell46	1568	947	0	1	0	0	5478	8883
cell47	4593	2741	584	297	300	306	15140	12387
cell48	4766	2828	543	307	309	304	15709	13084
cell49	9316	5507	1114	637	550	582	30965	25282
cell50	7776	4503	971	511	472	511	25441	21272
cell51	3498	2086	429	253	223	229	11659	9269
cell52	1994	1217	0	0	0	0	6755	10911
cell53	2932	1710	364	177	172	183	9595	7981
cell54	1842	1099	1	0	0	0	6279	10301
cell55	4974	2967	654	286	340	317	16144	13097
cell56	6434	3653	865	422	412	445	20897	17095
cell57	3672	2228	477	255	230	263	11862	9690
cell58	3714	2174	466	230	221	226	12227	10097
cell59	1228	750	0	0	0	0	3907	6503
cell60	4287	2586	510	290	267	257	14219	11535
cell61	3302	2006	423	212	203	225	10688	8978
cell62	3941	2321	517	247	228	269	12462	10340
cell63	3436	2089	434	227	220	213	11388	9524
cell64	4384	2634	573	275	253	248	14437	11779
cell65	2742	1595	335	169	152	178	8885	7306
cell66	2919	1743	354	191	190	203	9856	8000
cell67	8471	4843	1052	544	544	540	27635	22643
cell68	3048	1824	406	176	187	204	10135	8291
cell69	3193	1886	412	201	213	206	10793	8888
cell70	7668	4546	944	516	477	485	25152	21039
cell71	10361	6299	1278	715	665	659	34793	28826
cell72	3237	1876	397	204	219	216	10328	8577
cell73	2036	1182	0	0	0	0	6634	10723
cell74	5086	3017	638	339	295	328	16201	13423
cell75	7511	4400	925	459	475	466	24791	20250
cell76	3337	2007	411	216	207	252	11105	9203
cell77	4158	2464	553	227	257	273	13652	11377
cell78	5689	3351	779	391	309	387	18581	15072
cell79	5134	2938	694	326	322	333	16876	13855
cell80	3980	2346	448	262	280	234	13221	10990
cell81	4287	2637	563	280	273	280	14057	11680
cell82	1520	853	0	0	0	0	4989	8125
cell83	4169	2585	554	269	269	317	13766	11245
cell84	4186	2447	557	253	260	263	13720	11221
cell85	4837	2850	584	344	327	334	15663	13186
cell86	3743	2224	517	220	235	269	12524	10331
cell87	5156	3075	594	307	332	335	17122	14071
cell88	6122	3590	777	414	379	379	19868	16404
cell89	2327	1275	0	1	0	0	7620	12852
cell90	4990	2943	665	351	330	323	16297	13317
cell91	4536	2603	571	307	279	299	15057	12213
cell92	4525	2545	587	299	266	298	14857	12155
cell93	3667	2158	457	229	254	217	12081	9888
cell94	2460	1478	0	0	0	0	8136	13556
cell95	4402	2562	577	294	258	268	14181	11859
cell96	8441	4998	1073	567	521	529	27345	22368
cell97	7070	4257	892	464	452	501	23414	19194
cell98	2516	1553	0	0	0	0	8206	13625
cell99	3547	2049	461	237	230	217	11865	9913
