	0	1	2	3	4	5	6	7
cell0	7090	4281	893	412	451	481	23278	25305
cell1	6403	3793	844	394	396	412	21321	23355
cell2	7294	4248	934	432	451	443	24202	26558
cell3	6568	5901	826	247	222	213	21754	35729
cell4	7247	4270	912	457	406	459	23840	25933
cell5	3942	3661	508	133	0	154	13075	21525
cell6	9248	5465	1176	605	615	593	30625	33289
cell7	5028	4558	660	155	153	171	16438	27626
cell8	7048	6289	883	249	0	211	23028	38119
cell9	4668	4193	598	140	0	147	15657	25662
cell10	4713	2814	557	332	282	299	15428	17082
cell11	4547	2558	573	294	268	282	14677	16141
cell12	10936	6595	1410	686	677	678	35838	39439
cell13	11218	6690	1396	773	682	723	36470	40326
cell14	6344	3705	798	433	392	384	21120	23130
cell15	6100	3487	748	385	413	422	19814	21958
cell16	10274	6080	1342	704	644	677	33976	37381
cell17	3266	2787	373	91	110	94	10712	17609
cell18	5122	3070	631	371	312	325	16992	18837
cell19	7991	4748	1021	533	549	542	26754	29084
cell20	6014	3599	751	380	369	375	19673	21457
cell21	6667	3982	849	489	404	433	22087	24292
cell22	6370	3848	808	429	426	405	21310	23194
cell23	7543	4552	1013	487	463	487	24579	27029
cell24	10121	5968	1306	654	626	676	33566	36761
cell25	7072	4106	909	491	409	424	22837	25076
cell26	8044	4732	1069	539	542	539	26891	29373
cell27	3662	2150	445	235	235	257	12125	13362
cell28	6655	4039	817	422	413	446	21901	24211
cell29	5318	3123	655	345	361	350	17155	18928
cell30	4695	2789	596	333	289	310	15460	16751
cell31	5128	3078	656	304	332	357	16910	18681
cell32	3979	3622	481	122	0	140	13410	21950
cell33	5776	5392	718	184	0	187	19285	31998
cell34	4582	2711	536	295	273	295	15053	16605
cell35	6868	4103	886	457	441	426	22450	24478
cell36	5875	3601	728	397	362	377	19177	21311
cell37	4088	3669	507	133	130	134	13551	21704
cell38	9093	5465	1064	611	523	613	29943	32677
cell39	7994	4583	995	519	481	510	26156	28119
cell40	10119	5912	1215	665	637	672	32792	35934
cell41	6477	3830	813	382	358	403	21280	23369
cell42	5424	3233	712	351	347	390	17961	19804
cell43	6434	3787	768	384	368	435	20880	22917
cell44	7190	4299	894	476	510	466	23758	25996
cell45	6964	4295	900	489	432	481	23235	25385
cell46	3195	2825	406	111	85	100	10822	17632
cell47	6916	4129	872	448	446	484	22710	24908
cell48	7154	4225	810	456	471	463	23577	26058
cell49	13965	8280	1700	935	849	906	46491	50383
cell50	11742	6810	1465	749	721	733	38299	42481
cell51	5242	3090	642	377	342	340	17431	18594
cell52	4049	3694	517	118	0	126	13500	22027
cell53	4406	2579	535	279	249	263	14514	15812
cell54	3703	3343	440	128	0	132	12476	20538
cell55	7492	4447	992	437	497	482	24378	26538
cell56	9633	5562	1256	609	583	634	31442	34663
cell57	5497	3255	719	372	343	372	17738	19535
cell58	5587	3229	684	361	353	339	18399	20270
cell59	2426	2128	310	79	0	82	7947	12963
cell60	6470	3830	793	417	378	394	21277	23051
cell61	4924	2971	615	324	312	330	16126	17825
cell62	5872	3508	788	370	332	397	18936	20792
cell63	5153	3096	673	351	338	328	17077	18993
cell64	6600	3941	840	407	397	376	21682	23815
cell65	4053	2382	507	256	237	264	13136	14553
cell66	4409	2588	529	296	292	305	14691	16088
cell67	12705	7298	1573	854	802	824	41338	45305
cell68	4553	2709	586	286	290	310	15142	16639
cell69	4802	2870	622	297	303	312	16142	17729
cell70	11502	6814	1410	771	710	720	37865	41828
cell71	15549	9406	1904	1093	985	1012	51950	57350
cell72	4867	2849	589	300	327	322	15549	17296
cell73	4036	3647	486	137	0	114	13169	21633
cell74	7599	4500	983	509	451	494	24442	26878
cell75	11150	6567	1343	688	686	705	36983	40362
cell76	4922	3015	612	303	298	357	16549	18405
cell77	6224	3763	822	363	399	414	20594	22825
cell78	8575	5035	1139	597	464	585	28052	30257
cell79	7657	4535	1059	489	474	494	25299	27598
cell80	6000	3530	705	410	403	374	19700	21848
cell81	6465	3985	882	422	410	431	21201	23379
cell82	3017	2683	379	92	0	121	10025	16198
cell83	6267	3809	838	403	416	451	20697	22582
cell84	6189	3636	814	405	401	404	20467	22493
cell85	7226	4235	886	510	491	508	23787	26172
cell86	5581	3389	751	353	354	395	18897	20575
cell87	7696	4588	919	465	471	505	25593	28042
cell88	9114	5373	1162	582	559	567	30038	32964
cell89	4666	4101	584	145	0	144	15283	25444
cell90	7471	4415	946	512	486	461	24486	26571
cell91	6803	4053	839	476	418	459	22558	24572
cell92	6797	3887	850	438	380	453	22405	24376
cell93	5552	3175	678	345	371	323	18057	19659
cell94	4871	4391	614	181	0	155	16324	26835
cell95	6572	3826	852	441	378	395	21376	23702
cell96	12630	7476	1597	825	815	787	40973	44905
cell97	10697	6364	1346	675	680	723	35247	38626
cell98	5031	4556	606	172	0	144	16465	27167
cell99	5277	3116	687	347	338	350	17677	19723
