method,dataset,rep,clones,beta,lambdaE,N,pNormal,lambdaDelta,focal,mean_library_size,mean_allelic_coverage,phase_switch,wgd,doublet,hscn_error,tcn_mse,clone_ari,clone_nmi,loh_f1,loh_precision,loh_recall,msr,breakpoint_f1,breakpoint_precision,breakpoint_recall,nrf_distance,tree_coverage,cell_node_match_accuracy,retention_rate
SEACON,amplitude_1_0_rep42,42,4,0.5,40.0,200,0.1,1.0,0.7,100.0,0.2,0.01,0.0,0.0,0.7020394736842105,NA,0.32517378380827444,0.474271156547812,0.8046218487394958,0.9980456026058632,0.6739991201055874,1.0,0.14492753623188404,0.07936507936507936,0.8333333333333334,NA,NA,NA,NA
SEACON,amplitude_1_0_rep43,43,4,0.5,40.0,200,0.1,1.0,0.7,100.0,0.2,0.01,0.0,0.0,0.47858823529411765,NA,0.41792268281322775,0.5747289452525411,0.9139987445072192,0.9817936614969656,0.8549618320610687,0.0,0.6433566433566433,0.575,0.7301587301587301,NA,NA,NA,NA
SEACON,amplitude_1_0_rep44,44,4,0.5,40.0,200,0.1,1.0,0.7,100.0,0.2,0.01,0.0,0.0,1.5478461538461539,NA,0.2731147432388421,0.48387270211919403,0.9215740999162711,0.9892150988615938,0.8625914315569488,1.0,0.08735632183908046,0.045949214026602174,0.8837209302325582,NA,NA,NA,NA
SEACON,amplitude_1_0_rep45,45,4,0.5,40.0,200,0.1,1.0,0.7,100.0,0.2,0.01,0.0,0.0,0.13423076923076924,NA,0.715815869220918,0.8003922781268904,0.8942440521872601,0.9904794287657259,0.815053161723559,0.5,0.6760563380281691,0.549618320610687,0.8780487804878049,NA,NA,NA,NA
SEACON,amplitude_1_0_rep46,46,4,0.5,40.0,200,0.1,1.0,0.7,100.0,0.2,0.01,0.0,0.0,1.0996428571428571,NA,0.38168938966425014,0.5725147634026361,0.889896373056995,0.9942112879884226,0.8053927315357562,1.0,0.0910344827586207,0.04874446085672083,0.6875,NA,NA,NA,NA
SEACON,amplitude_4_0_rep42,42,4,0.5,40.0,200,0.1,4.0,0.7,100.0,0.2,0.01,0.0,0.0,0.6810752688172043,NA,0.6278907939756867,0.7304776281994833,0.902506963788301,0.9242053789731052,0.8818040435458787,0.5,0.19076005961251868,0.10666666666666667,0.9014084507042254,NA,NA,NA,NA
SEACON,amplitude_4_0_rep43,43,4,0.5,40.0,200,0.1,4.0,0.7,100.0,0.2,0.01,0.0,0.0,0.461968085106383,NA,0.5654378278038505,0.7203935496195533,0.8837494883340156,0.934227607096495,0.8384466019417476,0.0,0.7294117647058823,0.6326530612244898,0.8611111111111112,NA,NA,NA,NA
SEACON,amplitude_4_0_rep44,44,4,0.5,40.0,200,0.1,4.0,0.7,100.0,0.2,0.01,0.0,0.0,1.7975609756097561,NA,0.3137845419699715,0.46516013366537495,0.8387978142076503,0.9258142340168878,0.7667332667332667,NA,0.20190476190476192,0.11397849462365592,0.8833333333333333,NA,NA,NA,NA
SEACON,amplitude_4_0_rep45,45,4,0.5,40.0,200,0.1,4.0,0.7,100.0,0.2,0.01,0.0,0.0,0.7029347826086957,NA,0.4953634735450178,0.6262037006862124,0.8176758306628437,0.9391708640061992,0.7240143369175627,0.6666666666666666,0.631578947368421,0.6666666666666666,0.6,NA,NA,NA,NA
SEACON,amplitude_4_0_rep46,46,4,0.5,40.0,200,0.1,4.0,0.7,100.0,0.2,0.01,0.0,0.0,0.7733552631578947,NA,0.5938250941675657,0.7413819614668704,0.7448539971278123,0.8790960451977401,0.6461794019933554,NA,0.6153846153846153,0.4943820224719101,0.8148148148148148,NA,NA,NA,NA
