tool,dataset,breakpoint_f1,breakpoint_precision,breakpoint_recall,cell_node_match_accuracy,clone_ari,clone_nmi,hscn_error,loh_f1,loh_precision,loh_recall,msr,nrf_distance,retention_rate,tcn_mse,tree_coverage
SCICoNE,amplitude_1_0_rep42,0.4873096446700507,0.39344262295081966,0.64,,0.8560425234597995,0.9194647984636939,,,,,,,,0.07263157894736842,
SCICoNE,amplitude_1_0_rep43,0.4918032786885245,0.375,0.7142857142857143,,0.7514114718569395,0.864471436424403,,,,,,,,0.05747058823529412,
SCICoNE,amplitude_1_0_rep44,0.3745019920318725,0.25133689839572193,0.734375,,1.0,1.0,,,,,,,,0.33092307692307693,
SCICoNE,amplitude_1_0_rep45,0.62882096069869,0.5714285714285714,0.6990291262135923,,0.9958452683195511,0.9911230434693401,,,,,,,,0.12875,
SCICoNE,amplitude_1_0_rep46,0.39357429718875503,0.2722222222222222,0.7101449275362319,,0.8781010989989542,0.914749812155844,,,,,,,,0.07471428571428572,
SCICoNE,amplitude_4_0_rep42,0.543859649122807,0.45588235294117646,0.6739130434782609,,1.0,1.0,,,,,,,,0.9666666666666667,
SCICoNE,amplitude_4_0_rep43,0.6605504587155964,0.576,0.7741935483870968,,0.8754349537508398,0.9291208310414164,,,,,,,,0.2730851063829787,
SCICoNE,amplitude_4_0_rep44,0.5253456221198156,0.41911764705882354,0.7037037037037037,,1.0,1.0,,,,,,,,0.9088414634146341,
SCICoNE,amplitude_4_0_rep45,0.45643153526970953,0.36666666666666664,0.6043956043956044,,1.0,1.0,,,,,,,,0.6054347826086957,
SCICoNE,amplitude_4_0_rep46,0.2642857142857143,0.18048780487804877,0.49333333333333335,,0.8217455741763163,0.8675662277074182,,,,,,,,1.8473684210526315,
SCICoNE,beta_0_1_rep42,0.37914691943127965,0.2702702702702703,0.6349206349206349,,0.7176862653797377,0.8701116447719073,,,,,,,,0.28578125,
SCICoNE,beta_0_1_rep43,0.497737556561086,0.3793103448275862,0.7236842105263158,,0.9899502728810694,0.9837660735954208,,,,,,,,0.2405844155844156,
SCICoNE,beta_0_1_rep44,0.4311926605504587,0.31756756756756754,0.6714285714285714,,1.0,1.0,,,,,,,,0.47330985915492957,
SCICoNE,beta_0_1_rep45,0.47257383966244726,0.3660130718954248,0.6666666666666666,,1.0,1.0000000000000002,,,,,,,,0.13976470588235293,
SCICoNE,beta_0_1_rep46,0.2972972972972973,0.2037037037037037,0.55,,0.79941738361949,0.8458283759670017,,,,,,,,0.3087704918032787,
SCICoNE,beta_0_3_rep42,0.31970260223048325,0.2087378640776699,0.6825396825396826,,0.806031717252732,0.8753644776642253,,,,,,,,0.3709375,
SCICoNE,beta_0_3_rep43,0.453781512605042,0.3333333333333333,0.7105263157894737,,0.8822309236294911,0.9243320434616301,,,,,,,,0.20844155844155843,
SCICoNE,beta_0_3_rep44,0.43404255319148927,0.3090909090909091,0.7285714285714285,,1.0,1.0,,,,,,,,0.48795774647887324,
SCICoNE,beta_0_3_rep45,0.4786324786324786,0.37333333333333335,0.6666666666666666,,0.9884252947291834,0.9845309037990692,,,,,,,,0.13294117647058823,
SCICoNE,beta_0_3_rep46,0.3349282296650718,0.2348993288590604,0.5833333333333334,,0.8026243552959972,0.850400999676749,,,,,,,,0.35008196721311474,
SCICoNE,beta_0_5_rep42,0.4059405940594059,0.2949640287769784,0.6507936507936508,,0.7316969501157877,0.8601180417439833,,,,,,,,0.284765625,
SCICoNE,beta_0_5_rep43,0.15767634854771784,0.11515151515151516,0.25,,0.8079292875507751,0.8830339171854604,,,,,,,,0.4122077922077922,
SCICoNE,beta_0_5_rep44,0.4607843137254903,0.35074626865671643,0.6714285714285714,,1.0,1.0,,,,,,,,0.39936619718309857,
SCICoNE,beta_0_5_rep45,0.3969465648854962,0.29213483146067415,0.6190476190476191,,1.0,1.0,,,,,,,,0.13841176470588235,
SCICoNE,beta_0_5_rep46,0.29310344827586204,0.19767441860465115,0.5666666666666667,,0.5742265545651886,0.7181530493682023,,,,,,,,0.3592622950819672,
SCICoNE,cells_500_rep42,0.5728643216080401,0.47107438016528924,0.7307692307692307,,0.8827500657480334,0.9288704838766464,,,,,,,,0.40572151898734177,
SCICoNE,cells_500_rep43,0.6938775510204082,0.6126126126126126,0.8,,0.8504188304378456,0.9177165698764995,,,,,,,,0.18606976744186046,
SCICoNE,cells_500_rep44,0.5887850467289719,0.4883720930232558,0.7411764705882353,,1.0,1.0,,,,,,,,0.818906976744186,
SCICoNE,cells_500_rep45,0.4299065420560748,0.3108108108108108,0.696969696969697,,1.0,1.0,,,,,,,,0.42140298507462687,
SCICoNE,cells_500_rep46,0.3733333333333333,0.2641509433962264,0.6363636363636364,,0.8493863508092013,0.9051841424603927,,,,,,,,0.19922388059701493,
SCICoNE,cells_50_rep42,0.5352112676056338,0.4222222222222222,0.7307692307692307,,0.799151792057888,0.9080782107793115,,,,,,,,0.5156962025316456,
SCICoNE,cells_50_rep43,0.5411764705882353,0.40588235294117647,0.8117647058823529,,0.8289440612170804,0.9176182122343982,,,,,,,,0.18930232558139534,
SCICoNE,cells_50_rep44,0.5080645161290323,0.38650306748466257,0.7411764705882353,,0.8519770344310912,0.9208162176415097,,,,,,,,0.8841860465116279,
SCICoNE,cells_50_rep45,0.4761904761904762,0.3472222222222222,0.7575757575757576,,1.0,1.0,,,,,,,,0.3582089552238806,
SCICoNE,cells_50_rep46,0.31578947368421056,0.21,0.6363636363636364,,0.9488339714584059,0.9372750016015752,,,,,,,,0.17044776119402985,
SCICoNE,clone_2_rep42,0.3944954128440367,0.27564102564102566,0.6935483870967742,,1.0,1.0,,,,,,,,0.4042063492063492,
SCICoNE,clone_2_rep43,0.36607142857142855,0.24550898203592814,0.7192982456140351,,1.0,1.0,,,,,,,,0.5775862068965517,
SCICoNE,clone_2_rep44,0.47567567567567576,0.35772357723577236,0.7096774193548387,,1.0,1.0,,,,,,,,0.4928571428571429,
SCICoNE,clone_2_rep45,0.39525691699604737,0.27932960893854747,0.6756756756756757,,1.0,1.0,,,,,,,,0.5084,
SCICoNE,clone_2_rep46,0.22764227642276424,0.14,0.6086956521739131,,0.9981752436195909,0.9848205501471994,,,,,,,,0.21840425531914895,
SCICoNE,clone_4_rep42,0.4059405940594059,0.2949640287769784,0.6507936507936508,,0.7316969501157877,0.8601180417439833,,,,,,,,0.284765625,
SCICoNE,clone_4_rep43,0.4578313253012048,0.32947976878612717,0.75,,0.8883962214549852,0.9285022589358504,,,,,,,,0.27603896103896103,
SCICoNE,clone_4_rep44,0.4607843137254903,0.35074626865671643,0.6714285714285714,,1.0,1.0,,,,,,,,0.39936619718309857,
SCICoNE,clone_4_rep45,0.3969465648854962,0.29213483146067415,0.6190476190476191,,1.0,1.0,,,,,,,,0.13841176470588235,
SCICoNE,clone_4_rep46,0.29310344827586204,0.19767441860465115,0.5666666666666667,,0.5742265545651886,0.7181530493682023,,,,,,,,0.3592622950819672,
SCICoNE,clone_8_rep42,0.4014598540145985,0.28061224489795916,0.7051282051282052,,0.8666574000546023,0.9333436062614966,,,,,,,,0.18018987341772152,
SCICoNE,clone_8_rep43,0.4166666666666667,0.3005464480874317,0.6790123456790124,,0.9264343254199732,0.9569964077737458,,,,,,,,0.08652439024390243,
SCICoNE,clone_8_rep44,0.3565891472868217,0.24083769633507854,0.6865671641791045,,0.7063817518504364,0.855759380094822,,,,,,,,0.1563235294117647,
SCICoNE,clone_8_rep45,0.3967611336032389,0.2784090909090909,0.6901408450704225,,0.9014386243309539,0.8987302135810823,,,,,,,,0.15034722222222222,
SCICoNE,clone_8_rep46,0.41295546558704455,0.29651162790697677,0.68,,0.3635829024471939,0.6501315624806457,,,,,,,,0.3555921052631579,
SCICoNE,events_10_rep42,0.12269938650306751,0.06802721088435375,0.625,,0.4840533871371376,0.677062580085003,,,,,,,,0.08424242424242424,
SCICoNE,events_10_rep43,0.2336448598130841,0.14285714285714285,0.6410256410256411,,0.8708296838181956,0.9224248187911073,,,,,,,,0.157,
