tool,dataset,runtime_seconds,runtime_minutes
Alleloscope,amplitude_1_0_rep42,1194,19.9
Alleloscope,amplitude_1_0_rep43,722,12.03
Alleloscope,amplitude_1_0_rep44,689,11.48
Alleloscope,amplitude_1_0_rep45,510,8.5
Alleloscope,amplitude_1_0_rep46,727,12.12
Alleloscope,amplitude_4_0_rep42,758,12.63
Alleloscope,amplitude_4_0_rep43,707,11.78
Alleloscope,amplitude_4_0_rep44,999,16.65
Alleloscope,amplitude_4_0_rep45,812,13.53
Alleloscope,amplitude_4_0_rep46,877,14.62
Alleloscope,beta_0_1_rep42,807,13.45
Alleloscope,beta_0_1_rep43,749,12.48
Alleloscope,beta_0_1_rep44,983,16.38
Alleloscope,beta_0_1_rep45,972,16.2
Alleloscope,beta_0_1_rep46,891,14.85
Alleloscope,beta_0_3_rep42,834,13.9
Alleloscope,beta_0_3_rep43,731,12.18
Alleloscope,beta_0_3_rep44,809,13.48
Alleloscope,beta_0_3_rep45,795,13.25
Alleloscope,beta_0_3_rep46,931,15.52
Alleloscope,beta_0_5_rep42,1994,33.23
Alleloscope,beta_0_5_rep43,753,12.55
Alleloscope,beta_0_5_rep44,930,15.5
Alleloscope,beta_0_5_rep45,706,11.77
Alleloscope,beta_0_5_rep46,1002,16.7
Alleloscope,cells_500_rep42,1526,25.43
Alleloscope,cells_500_rep43,1275,21.25
Alleloscope,cells_500_rep44,1209,20.15
Alleloscope,cells_500_rep45,1304,21.73
Alleloscope,cells_500_rep46,1452,24.2
Alleloscope,cells_50_rep42,355,5.92
Alleloscope,cells_50_rep43,322,5.37
Alleloscope,cells_50_rep44,354,5.9
Alleloscope,cells_50_rep45,327,5.45
Alleloscope,cells_50_rep46,407,6.78
Alleloscope,clone_2_rep42,1038,17.3
Alleloscope,clone_2_rep43,802,13.37
Alleloscope,clone_2_rep44,800,13.33
Alleloscope,clone_2_rep45,819,13.65
Alleloscope,clone_2_rep46,1243,20.72
Alleloscope,clone_4_rep42,890,14.83
Alleloscope,clone_4_rep43,1266,21.1
Alleloscope,clone_4_rep44,808,13.47
Alleloscope,clone_4_rep45,939,15.65
Alleloscope,clone_4_rep46,985,16.42
Alleloscope,clone_8_rep42,845,14.08
Alleloscope,clone_8_rep43,866,14.43
Alleloscope,clone_8_rep44,784,13.07
Alleloscope,clone_8_rep45,1131,18.85
Alleloscope,clone_8_rep46,1314,21.9
Alleloscope,events_10_rep42,835,13.92
Alleloscope,events_10_rep43,830,13.83
Alleloscope,events_10_rep44,889,14.82
Alleloscope,events_10_rep45,947,15.78
Alleloscope,events_10_rep46,800,13.33
Alleloscope,events_80_rep42,700,11.67
Alleloscope,events_80_rep43,765,12.75
Alleloscope,events_80_rep44,743,12.38
Alleloscope,events_80_rep45,598,9.97
Alleloscope,events_80_rep46,1207,20.12
Alleloscope,focal_0_3_rep42,722,12.03
Alleloscope,focal_0_3_rep43,697,11.62
Alleloscope,focal_0_3_rep44,739,12.32
Alleloscope,focal_0_3_rep45,563,9.38
Alleloscope,focal_0_3_rep46,694,11.57
Alleloscope,focal_1_0_rep42,770,12.83
Alleloscope,focal_1_0_rep43,1110,18.5
Alleloscope,focal_1_0_rep44,789,13.15
Alleloscope,focal_1_0_rep45,896,14.93
Alleloscope,focal_1_0_rep46,914,15.23
Alleloscope,normal_0_0_rep42,691,11.52
Alleloscope,normal_0_0_rep43,672,11.2
Alleloscope,normal_0_0_rep44,648,10.8
Alleloscope,normal_0_0_rep45,600,10.0
Alleloscope,normal_0_0_rep46,813,13.55
Alleloscope,normal_0_3_rep42,741,12.35
Alleloscope,normal_0_3_rep43,784,13.07
Alleloscope,normal_0_3_rep44,696,11.6
Alleloscope,normal_0_3_rep45,652,10.87
Alleloscope,normal_0_3_rep46,855,14.25
CNRein,amplitude_1_0_rep42,838,13.97
CNRein,amplitude_1_0_rep43,797,13.28
CNRein,amplitude_1_0_rep44,821,13.68
CNRein,amplitude_1_0_rep45,839,13.98
CNRein,amplitude_1_0_rep46,833,13.88
CNRein,amplitude_4_0_rep42,1560,26.0
CNRein,amplitude_4_0_rep43,837,13.95
CNRein,amplitude_4_0_rep44,947,15.78
CNRein,amplitude_4_0_rep45,893,14.88
CNRein,amplitude_4_0_rep46,869,14.48
CNRein,beta_0_1_rep42,831,13.85
CNRein,beta_0_1_rep43,791,13.18
CNRein,beta_0_1_rep44,902,15.03
CNRein,beta_0_1_rep45,884,14.73
CNRein,beta_0_1_rep46,819,13.65
CNRein,beta_0_3_rep42,1375,22.92
CNRein,beta_0_3_rep43,786,13.1
CNRein,beta_0_3_rep44,892,14.87
CNRein,beta_0_3_rep45,892,14.87
CNRein,beta_0_3_rep46,784,13.07
CNRein,beta_0_5_rep42,864,14.4
CNRein,beta_0_5_rep43,803,13.38
CNRein,beta_0_5_rep44,873,14.55
CNRein,beta_0_5_rep45,1525,25.42
CNRein,beta_0_5_rep46,791,13.18
CNRein,cells_500_rep42,3786,63.1
CNRein,cells_500_rep43,5104,85.07
CNRein,cells_500_rep44,5376,89.6
CNRein,cells_500_rep45,5485,91.42
CNRein,cells_500_rep46,5405,90.08
CNRein,cells_50_rep42,175,2.92
CNRein,cells_50_rep43,165,2.75
CNRein,cells_50_rep44,167,2.78
CNRein,cells_50_rep45,170,2.83
CNRein,cells_50_rep46,157,2.62
CNRein,clone_2_rep42,887,14.78
CNRein,clone_2_rep43,806,13.43
CNRein,clone_2_rep44,907,15.12
CNRein,clone_2_rep45,925,15.42
CNRein,clone_2_rep46,795,13.25
CNRein,clone_4_rep42,844,14.07
CNRein,clone_4_rep43,813,13.55
CNRein,clone_4_rep44,857,14.28
CNRein,clone_4_rep45,867,14.45
CNRein,clone_4_rep46,802,13.37
CNRein,clone_8_rep42,810,13.5
CNRein,clone_8_rep43,827,13.78
CNRein,clone_8_rep44,1401,23.35
CNRein,clone_8_rep45,1310,21.83
CNRein,clone_8_rep46,845,14.08
CNRein,events_10_rep42,762,12.7
CNRein,events_10_rep43,763,12.72
CNRein,events_10_rep44,790,13.17
CNRein,events_10_rep45,791,13.18
CNRein,events_10_rep46,1174,19.57
CNRein,events_80_rep42,940,15.67
CNRein,events_80_rep43,974,16.23
CNRein,events_80_rep44,1072,17.87
CNRein,events_80_rep45,1002,16.7
CNRein,events_80_rep46,930,15.5
CNRein,focal_0_3_rep42,1042,17.37
CNRein,focal_0_3_rep43,1121,18.68
CNRein,focal_0_3_rep44,953,15.88
CNRein,focal_0_3_rep45,960,16.0
CNRein,focal_0_3_rep46,907,15.12
CNRein,focal_1_0_rep42,894,14.9
CNRein,focal_1_0_rep43,829,13.82
CNRein,focal_1_0_rep44,861,14.35
CNRein,focal_1_0_rep45,858,14.3
CNRein,focal_1_0_rep46,840,14.0
CNRein,normal_0_0_rep42,1177,19.62
CNRein,normal_0_0_rep43,1199,19.98
CNRein,normal_0_0_rep44,927,15.45
CNRein,normal_0_0_rep45,931,15.52
CNRein,normal_0_0_rep46,824,13.73
CNRein,normal_0_3_rep42,846,14.1
CNRein,normal_0_3_rep43,817,13.62
CNRein,normal_0_3_rep44,1192,19.87
CNRein,normal_0_3_rep45,851,14.18
CNRein,normal_0_3_rep46,824,13.73
CONET,amplitude_1_0_rep42,239,3.98
CONET,amplitude_1_0_rep43,116,1.93
CONET,amplitude_1_0_rep44,121,2.02
CONET,amplitude_1_0_rep45,152,2.53
CONET,amplitude_1_0_rep46,800,13.33
CONET,amplitude_4_0_rep42,1311,21.85
CONET,amplitude_4_0_rep43,117,1.95
CONET,amplitude_4_0_rep44,90,1.5
CONET,amplitude_4_0_rep45,93,1.55
CONET,amplitude_4_0_rep46,127,2.12
CONET,beta_0_1_rep42,90,1.5
CONET,beta_0_1_rep43,66,1.1
CONET,beta_0_1_rep44,71,1.18
CONET,beta_0_1_rep45,73,1.22
CONET,beta_0_1_rep46,61,1.02
CONET,beta_0_3_rep42,133,2.22
CONET,beta_0_3_rep43,107,1.78
CONET,beta_0_3_rep44,98,1.63
CONET,beta_0_3_rep45,93,1.55
CONET,beta_0_3_rep46,140,2.33
CONET,beta_0_5_rep42,96,1.6
CONET,beta_0_5_rep43,119,1.98
CONET,beta_0_5_rep44,645,10.75
CONET,beta_0_5_rep45,78,1.3
CONET,beta_0_5_rep46,43,0.72
CONET,cells_500_rep42,72,1.2
CONET,cells_500_rep43,70,1.17
CONET,cells_500_rep44,69,1.15
CONET,cells_500_rep45,72,1.2
CONET,cells_500_rep46,120,2.0
CONET,cells_50_rep42,24,0.4
CONET,cells_50_rep43,22,0.37
CONET,cells_50_rep44,20,0.33
CONET,cells_50_rep45,18,0.3
CONET,cells_50_rep46,23,0.38
CONET,clone_2_rep42,48,0.8
CONET,clone_2_rep43,52,0.87
CONET,clone_2_rep44,57,0.95
CONET,clone_2_rep45,79,1.32
