cell	cell_index	clone_assignment	clone	library_size	allelic_coverage	is_doublet	doublet_clones
cell0	0	3	clone3	100.34580891531228	0.13819539436032932	False	
cell1	1	3	clone3	115.09177932465374	0.2717549919375062	False	
cell2	2	3	clone3	87.46768845461585	0.20692600810525574	False	
cell3	3	3	clone3	109.52714847639861	0.22056216839911727	False	
cell4	4	4	clone4	78.86725380941077	0.11478802820621005	False	
cell5	5	7	clone7	86.09945770629288	0.25151124763997046	False	
cell6	6	7	clone7	85.62850387792236	0.21890291592173836	False	
cell7	7	3	clone3	67.42596614042567	0.13827577568970342	False	
cell8	8	3	clone3	110.50239158105893	0.16680200615263222	False	
cell9	9	4	clone4	83.4529841225804	0.20698481662598328	False	
cell10	10	3	clone3	96.13458301292331	0.1945386176440447	False	
cell11	11	5	clone5	110.30061581762246	0.17581962900369638	False	
cell12	12	3	clone3	109.19826765626404	0.1858330078547618	False	
cell13	13	0	clone0	116.44418305403973	0.1779064666148274	False	
cell14	14	3	clone3	93.05306312616385	0.20033978045747083	False	
cell15	15	0	clone0	84.59014114273118	0.29506635404750414	False	
cell16	16	3	clone3	93.5671377708106	0.09017563721661695	False	
cell17	17	3	clone3	58.366774701105705	0.1786982563963349	False	
cell18	18	3	clone3	62.63138133042572	0.20175328141590146	False	
cell19	19	3	clone3	64.96113305729932	0.20895535700122114	False	
cell20	20	0	clone0	71.4736736352934	0.17175158041628297	False	
cell21	21	4	clone4	107.7096532927974	0.11437981325330514	False	
cell22	22	3	clone3	73.42530000972992	0.2109276106250975	False	
cell23	23	5	clone5	85.71842486626245	0.31808228345847883	False	
cell24	24	5	clone5	140.2579587458983	0.12211309002068908	False	
cell25	25	0	clone0	86.27124560423474	0.24685822838691013	False	
cell26	26	3	clone3	118.93613731263143	0.173953240327299	False	
cell27	27	3	clone3	72.82127690558403	0.1881474794036644	False	
cell28	28	3	clone3	90.17687418842156	0.1406309709796731	False	
cell29	29	3	clone3	72.47143637328438	0.17365063529135272	False	
cell30	30	8	clone8	86.70873769826582	0.2805831462578966	False	
cell31	31	8	clone8	122.5798327144504	0.2273005185525281	False	
cell32	32	4	clone4	57.68565328870889	0.3185458976300887	False	
cell33	33	0	clone0	108.8108340798446	0.27066178051345335	False	
cell34	34	3	clone3	102.70605686027055	0.21791977062588394	False	
cell35	35	3	clone3	80.4521382388203	0.31963464183581364	False	
cell36	36	3	clone3	62.65077463656337	0.21791378797723693	False	
cell37	37	0	clone0	97.83238953034007	0.24427460958970415	False	
cell38	38	3	clone3	81.99376906842316	0.17559268740345904	False	
cell39	39	3	clone3	102.55362727685242	0.19534431771543254	False	
cell40	40	3	clone3	96.39904182514795	0.1560993270339072	False	
cell41	41	3	clone3	153.28518744922346	0.2561417887670856	False	
cell42	42	0	clone0	89.28343828077769	0.13554792394002246	False	
cell43	43	5	clone5	70.9250032001079	0.24102377537222627	False	
cell44	44	8	clone8	100.95850201259917	0.1811383169895234	False	
cell45	45	3	clone3	102.17261101178391	0.27017239610464894	False	
cell46	46	5	clone5	142.74858811448823	0.2388065723385331	False	
cell47	47	8	clone8	122.39296732097483	0.32691431236819285	False	
cell48	48	3	clone3	106.36159274709966	0.23740202543388675	False	
cell49	49	3	clone3	147.17893471684874	0.12075211221541313	False	
cell50	50	3	clone3	67.5661828952288	0.18783684111425059	False	
cell51	51	3	clone3	79.3823169740306	0.13579870004845418	False	
cell52	52	0	clone0	72.9719669595331	0.164528217650862	False	
cell53	53	0	clone0	85.42583941004425	0.2985284715529259	False	
cell54	54	3	clone3	63.93972420871187	0.23099202490681417	False	
cell55	55	3	clone3	115.41524957056045	0.15603030274849614	False	
cell56	56	3	clone3	89.73362492550831	0.14225785112481862	False	
cell57	57	7	clone7	62.19725608052701	0.19341768898419995	False	
cell58	58	3	clone3	71.09006239789886	0.13403415555128756	False	
cell59	59	3	clone3	105.01640560524179	0.15730841798194062	False	
cell60	60	3	clone3	122.50135497737185	0.209940075915387	False	
cell61	61	3	clone3	172.12869359446947	0.26891150770781125	False	
cell62	62	0	clone0	225.30970183234885	0.2290491861246101	False	
cell63	63	3	clone3	108.17340357991831	0.09776793901930562	False	
cell64	64	3	clone3	71.63559964221656	0.2094695810190313	False	
cell65	65	3	clone3	51.22342890626761	0.1956592687166632	False	
cell66	66	5	clone5	103.61383011888374	0.21631383814715574	False	
cell67	67	0	clone0	75.447273017696	0.30787185630837355	False	
cell68	68	3	clone3	84.78756586210825	0.10453725420999663	False	
cell69	69	3	clone3	80.02939217800275	0.16104824408138124	False	
cell70	70	0	clone0	91.90456593521176	0.22785175101428068	False	
cell71	71	3	clone3	130.97558065957753	0.12041391108454494	False	
cell72	72	3	clone3	100.30189367315879	0.29545267763851535	False	
cell73	73	3	clone3	91.42440308038557	0.21344163551345094	False	
cell74	74	3	clone3	70.67235156616744	0.24561174931116356	False	
cell75	75	5	clone5	58.583950543838	0.16200417081044718	False	
cell76	76	3	clone3	83.0398492202831	0.24325670765625723	False	
cell77	77	4	clone4	94.28224707617942	0.26214281051913335	False	
