chrom	start	end	cell	BAF
chr1	0	500000	cell0	0.35238
chr1	0	500000	cell1	0.37674
chr1	0	500000	cell2	0.35593
chr1	0	500000	cell3	0.35714
chr1	0	500000	cell4	0.33654
chr1	0	500000	cell5	0.46218
chr1	0	500000	cell6	0.48387
chr1	0	500000	cell7	0.33036
chr1	0	500000	cell8	0.43103
chr1	0	500000	cell9	0.34028
chr1	0	500000	cell10	0.34416
chr1	0	500000	cell11	0.5
chr1	0	500000	cell12	0.31852
chr1	0	500000	cell13	0.43011
chr1	0	500000	cell14	0.24828
chr1	0	500000	cell15	0.48592
chr1	0	500000	cell16	0.30159
chr1	0	500000	cell17	0.28049
chr1	0	500000	cell18	0.32164
chr1	0	500000	cell19	0.34091
chr1	0	500000	cell20	0.5
chr1	0	500000	cell21	0.4
chr1	0	500000	cell22	0.30714
chr1	0	500000	cell23	0.48052
chr1	0	500000	cell24	0.41176
chr1	0	500000	cell25	0.49315
chr1	0	500000	cell26	0.34507
chr1	0	500000	cell27	0.33548
chr1	0	500000	cell28	0.28846
chr1	0	500000	cell29	0.34722
chr1	0	500000	cell30	0.47134
chr1	0	500000	cell31	0.47107
chr1	0	500000	cell32	0.31858
chr1	0	500000	cell33	0.4726
chr1	0	500000	cell34	0.27879
chr1	0	500000	cell35	0.33566
chr1	0	500000	cell36	0.29091
chr1	0	500000	cell37	0.46853
chr1	0	500000	cell38	0.31126
chr1	0	500000	cell39	0.37126
chr1	0	500000	cell40	0.33333
chr1	0	500000	cell41	0.37073
chr1	0	500000	cell42	0.48
chr1	0	500000	cell43	0.39669
chr1	0	500000	cell44	0.47664
chr1	0	500000	cell45	0.31188
chr1	0	500000	cell46	0.5
chr1	0	500000	cell47	0.48634
chr1	0	500000	cell48	0.38323
chr1	0	500000	cell49	0.35484
chr1	0	500000	cell50	0.38926
chr1	0	500000	cell51	0.38136
chr1	0	500000	cell52	0.5
chr1	0	500000	cell53	0.47742
chr1	0	500000	cell54	0.31844
chr1	0	500000	cell55	0.30597
chr1	0	500000	cell56	0.37273
chr1	0	500000	cell57	0.41667
chr1	0	500000	cell58	0.36842
chr1	0	500000	cell59	0.32203
chr1	0	500000	cell60	0.34239
chr1	0	500000	cell61	0.32828
chr1	0	500000	cell62	0.4661
chr1	0	500000	cell63	0.36471
chr1	0	500000	cell64	0.28477
chr1	0	500000	cell65	0.30952
chr1	0	500000	cell66	0.48305
chr1	0	500000	cell67	0.47826
chr1	0	500000	cell68	0.3125
chr1	0	500000	cell69	0.35417
chr1	0	500000	cell70	0.488
chr1	0	500000	cell71	0.24
chr1	0	500000	cell72	0.34468
chr1	0	500000	cell73	0.34356
chr1	0	500000	cell74	0.31765
chr1	0	500000	cell75	0.45098
chr1	0	500000	cell76	0.3262
chr1	0	500000	cell77	0.29952
chr1	0	500000	cell78	0.49153
chr1	0	500000	cell79	0.42069
chr1	0	500000	cell80	0.48462
chr1	0	500000	cell81	0.32836
chr1	0	500000	cell82	0.44444
chr1	0	500000	cell83	0.34328
chr1	0	500000	cell84	0.38788
chr1	0	500000	cell85	0.32796
chr1	0	500000	cell86	0.36937
chr1	0	500000	cell87	0.29323
chr1	0	500000	cell88	0.45517
chr1	0	500000	cell89	0.34545
chr1	0	500000	cell90	0.34211
chr1	0	500000	cell91	0.31429
chr1	0	500000	cell92	0.28351
chr1	0	500000	cell93	0.32414
chr1	0	500000	cell94	0.47368
chr1	0	500000	cell95	0.36649
chr1	0	500000	cell96	0.30645
chr1	0	500000	cell97	0.35751
chr1	0	500000	cell98	0.34343
chr1	0	500000	cell99	0.27941
chr1	0	500000	cell100	0.27551
chr1	0	500000	cell101	0.31897
chr1	0	500000	cell102	0.48864
chr1	0	500000	cell103	0.3
chr1	0	500000	cell104	0.35652
chr1	0	500000	cell105	0.33696
chr1	0	500000	cell106	0.39474
chr1	0	500000	cell107	0.32609
chr1	0	500000	cell108	0.48333
chr1	0	500000	cell109	0.40698
chr1	0	500000	cell110	0.49624
chr1	0	500000	cell111	0.34973
