bin	chrom	start	end	length
0	chr1	1	500000	500000
1	chr1	500001	1000000	500000
2	chr1	1000001	1500000	500000
3	chr1	1500001	2000000	500000
4	chr1	2000001	2500000	500000
5	chr1	2500001	3000000	500000
6	chr1	3000001	3500000	500000
7	chr1	3500001	4000000	500000
8	chr1	4000001	4500000	500000
9	chr1	4500001	5000000	500000
10	chr1	5000001	5500000	500000
11	chr1	5500001	6000000	500000
12	chr1	6000001	6500000	500000
13	chr1	6500001	7000000	500000
14	chr1	7000001	7500000	500000
15	chr1	7500001	8000000	500000
16	chr1	8000001	8500000	500000
17	chr1	8500001	9000000	500000
18	chr1	9000001	9500000	500000
19	chr1	9500001	10000000	500000
20	chr1	10000001	10500000	500000
21	chr1	10500001	11000000	500000
22	chr1	11000001	11500000	500000
23	chr1	11500001	12000000	500000
24	chr1	12000001	12500000	500000
25	chr1	12500001	13000000	500000
26	chr1	13000001	13500000	500000
27	chr1	13500001	14000000	500000
28	chr1	14000001	14500000	500000
29	chr1	14500001	15000000	500000
30	chr1	15000001	15500000	500000
31	chr1	15500001	16000000	500000
32	chr1	16000001	16500000	500000
33	chr1	16500001	17000000	500000
34	chr1	17000001	17500000	500000
35	chr1	17500001	18000000	500000
36	chr1	18000001	18500000	500000
37	chr1	18500001	19000000	500000
38	chr1	19000001	19500000	500000
39	chr1	19500001	20000000	500000
40	chr1	20000001	20500000	500000
41	chr1	20500001	21000000	500000
42	chr1	21000001	21500000	500000
43	chr1	21500001	22000000	500000
44	chr1	22000001	22500000	500000
45	chr1	22500001	23000000	500000
46	chr1	23000001	23500000	500000
47	chr1	23500001	24000000	500000
48	chr1	24000001	24500000	500000
49	chr1	24500001	25000000	500000
50	chr1	25000001	25500000	500000
51	chr1	25500001	26000000	500000
52	chr1	26000001	26500000	500000
53	chr1	26500001	27000000	500000
54	chr1	27000001	27500000	500000
55	chr1	27500001	28000000	500000
56	chr1	28000001	28500000	500000
57	chr1	28500001	29000000	500000
58	chr1	29000001	29500000	500000
59	chr1	29500001	30000000	500000
60	chr1	30000001	30500000	500000
61	chr1	30500001	31000000	500000
62	chr1	31000001	31500000	500000
63	chr1	31500001	32000000	500000
64	chr1	32000001	32500000	500000
65	chr1	32500001	33000000	500000
66	chr1	33000001	33500000	500000
67	chr1	33500001	34000000	500000
68	chr1	34000001	34500000	500000
69	chr1	34500001	35000000	500000
70	chr1	35000001	35500000	500000
71	chr1	35500001	36000000	500000
72	chr1	36000001	36500000	500000
73	chr1	36500001	37000000	500000
74	chr1	37000001	37500000	500000
75	chr1	37500001	38000000	500000
76	chr1	38000001	38500000	500000
77	chr1	38500001	39000000	500000
78	chr1	39000001	39500000	500000
79	chr1	39500001	40000000	500000
80	chr1	40000001	40500000	500000
81	chr1	40500001	41000000	500000
82	chr1	41000001	41500000	500000
83	chr1	41500001	42000000	500000
84	chr1	42000001	42500000	500000
85	chr1	42500001	43000000	500000
86	chr1	43000001	43500000	500000
87	chr1	43500001	44000000	500000
88	chr1	44000001	44500000	500000
89	chr1	44500001	45000000	500000
90	chr1	45000001	45500000	500000
91	chr1	45500001	46000000	500000
92	chr1	46000001	46500000	500000
93	chr1	46500001	47000000	500000
94	chr1	47000001	47500000	500000
95	chr1	47500001	48000000	500000
96	chr1	48000001	48500000	500000
97	chr1	48500001	49000000	500000
98	chr1	49000001	49500000	500000
99	chr1	49500001	50000000	500000
100	chr1	50000001	50500000	500000
101	chr1	50500001	51000000	500000
102	chr1	51000001	51500000	500000
103	chr1	51500001	52000000	500000
104	chr1	52000001	52500000	500000
105	chr1	52500001	53000000	500000
106	chr1	53000001	53500000	500000
107	chr1	53500001	54000000	500000
108	chr1	54000001	54500000	500000
109	chr1	54500001	55000000	500000
110	chr1	55000001	55500000	500000
111	chr1	55500001	56000000	500000
112	chr1	56000001	56500000	500000
113	chr1	56500001	57000000	500000
114	chr1	57000001	57500000	500000
115	chr1	57500001	58000000	500000
116	chr1	58000001	58500000	500000
117	chr1	58500001	59000000	500000
118	chr1	59000001	59500000	500000
119	chr1	59500001	60000000	500000
120	chr1	60000001	60500000	500000
121	chr1	60500001	61000000	500000
122	chr1	61000001	61500000	500000
123	chr1	61500001	62000000	500000
124	chr1	62000001	62500000	500000
125	chr1	62500001	63000000	500000
126	chr1	63000001	63500000	500000
127	chr1	63500001	64000000	500000
128	chr1	64000001	64500000	500000
129	chr1	64500001	65000000	500000
130	chr1	65000001	65500000	500000
131	chr1	65500001	66000000	500000
132	chr1	66000001	66500000	500000
133	chr1	66500001	67000000	500000
134	chr1	67000001	67500000	500000
135	chr1	67500001	68000000	500000
136	chr1	68000001	68500000	500000
137	chr1	68500001	69000000	500000
138	chr1	69000001	69500000	500000
139	chr1	69500001	70000000	500000
140	chr1	70000001	70500000	500000
141	chr1	70500001	71000000	500000
142	chr1	71000001	71500000	500000
143	chr1	71500001	72000000	500000
144	chr1	72000001	72500000	500000
145	chr1	72500001	73000000	500000
146	chr1	73000001	73500000	500000
147	chr1	73500001	74000000	500000
148	chr1	74000001	74500000	500000
149	chr1	74500001	75000000	500000
150	chr1	75000001	75500000	500000
151	chr1	75500001	76000000	500000
152	chr1	76000001	76500000	500000
153	chr1	76500001	77000000	500000
154	chr1	77000001	77500000	500000
155	chr1	77500001	78000000	500000
156	chr1	78000001	78500000	500000
157	chr1	78500001	79000000	500000
158	chr1	79000001	79500000	500000
159	chr1	79500001	80000000	500000
160	chr1	80000001	80500000	500000
161	chr1	80500001	81000000	500000
162	chr1	81000001	81500000	500000
163	chr1	81500001	82000000	500000
164	chr1	82000001	82500000	500000
165	chr1	82500001	83000000	500000
166	chr1	83000001	83500000	500000
167	chr1	83500001	84000000	500000
168	chr1	84000001	84500000	500000
169	chr1	84500001	85000000	500000
170	chr1	85000001	85500000	500000
171	chr1	85500001	86000000	500000
172	chr1	86000001	86500000	500000
173	chr1	86500001	87000000	500000
174	chr1	87000001	87500000	500000
175	chr1	87500001	88000000	500000
176	chr1	88000001	88500000	500000
177	chr1	88500001	89000000	500000
178	chr1	89000001	89500000	500000
179	chr1	89500001	90000000	500000
180	chr1	90000001	90500000	500000
181	chr1	90500001	91000000	500000
182	chr1	91000001	91500000	500000
183	chr1	91500001	92000000	500000
184	chr1	92000001	92500000	500000
185	chr1	92500001	93000000	500000
186	chr1	93000001	93500000	500000
187	chr1	93500001	94000000	500000
188	chr1	94000001	94500000	500000
189	chr1	94500001	95000000	500000
190	chr1	95000001	95500000	500000
191	chr1	95500001	96000000	500000
192	chr1	96000001	96500000	500000
193	chr1	96500001	97000000	500000
194	chr1	97000001	97500000	500000
195	chr1	97500001	98000000	500000
196	chr1	98000001	98500000	500000
197	chr1	98500001	99000000	500000
198	chr1	99000001	99500000	500000
199	chr1	99500001	100000000	500000
200	chr1	100000001	100500000	500000
201	chr1	100500001	101000000	500000
202	chr1	101000001	101500000	500000
203	chr1	101500001	102000000	500000
204	chr1	102000001	102500000	500000
205	chr1	102500001	103000000	500000
206	chr1	103000001	103500000	500000
207	chr1	103500001	104000000	500000
208	chr1	104000001	104500000	500000
209	chr1	104500001	105000000	500000
210	chr1	105000001	105500000	500000
211	chr1	105500001	106000000	500000
212	chr1	106000001	106500000	500000
213	chr1	106500001	107000000	500000
214	chr1	107000001	107500000	500000
215	chr1	107500001	108000000	500000
216	chr1	108000001	108500000	500000
217	chr1	108500001	109000000	500000
218	chr1	109000001	109500000	500000
219	chr1	109500001	110000000	500000
220	chr1	110000001	110500000	500000
221	chr1	110500001	111000000	500000
222	chr1	111000001	111500000	500000
223	chr1	111500001	112000000	500000
224	chr1	112000001	112500000	500000
225	chr1	112500001	113000000	500000
226	chr1	113000001	113500000	500000
227	chr1	113500001	114000000	500000
228	chr1	114000001	114500000	500000
229	chr1	114500001	115000000	500000
230	chr1	115000001	115500000	500000
231	chr1	115500001	116000000	500000
232	chr1	116000001	116500000	500000
233	chr1	116500001	117000000	500000
234	chr1	117000001	117500000	500000
235	chr1	117500001	118000000	500000
236	chr1	118000001	118500000	500000
237	chr1	118500001	119000000	500000
238	chr1	119000001	119500000	500000
239	chr1	119500001	120000000	500000
240	chr1	120000001	120500000	500000
241	chr1	120500001	121000000	500000
242	chr1	121000001	121500000	500000
243	chr1	121500001	122000000	500000
244	chr1	122000001	122500000	500000
245	chr1	122500001	123000000	500000
