chrom	start	end	cell	BAF
chr1	0	500000	cell0	0.42069
chr1	0	500000	cell1	0.32593
chr1	0	500000	cell2	0.27517
chr1	0	500000	cell3	0.4878
chr1	0	500000	cell4	0.35714
chr1	0	500000	cell5	0.46154
chr1	0	500000	cell6	0.35714
chr1	0	500000	cell7	0.40244
chr1	0	500000	cell8	0.49296
chr1	0	500000	cell9	0.40385
chr1	0	500000	cell10	0.29126
chr1	0	500000	cell11	0.28
chr1	0	500000	cell12	0.39381
chr1	0	500000	cell13	0.29778
chr1	0	500000	cell14	0.34375
chr1	0	500000	cell15	0.32558
chr1	0	500000	cell16	0.36697
chr1	0	500000	cell17	0.40323
chr1	0	500000	cell18	0.34021
chr1	0	500000	cell19	0.34343
chr1	0	500000	cell20	0.32031
chr1	0	500000	cell21	0.33333
chr1	0	500000	cell22	0.23649
chr1	0	500000	cell23	0.30719
chr1	0	500000	cell24	0.27778
chr1	0	500000	cell25	0.36646
chr1	0	500000	cell26	0.32026
chr1	0	500000	cell27	0.29577
chr1	0	500000	cell28	0.31206
chr1	0	500000	cell29	0.31776
chr1	0	500000	cell30	0.31967
chr1	0	500000	cell31	0.27
chr1	0	500000	cell32	0.46237
chr1	0	500000	cell33	0.45192
chr1	0	500000	cell34	0.31034
chr1	0	500000	cell35	0.32258
chr1	0	500000	cell36	0.39091
chr1	0	500000	cell37	0.4
chr1	0	500000	cell38	0.35263
chr1	0	500000	cell39	0.30488
chr1	0	500000	cell40	0.29817
chr1	0	500000	cell41	0.30172
chr1	0	500000	cell42	0.33621
chr1	0	500000	cell43	0.31343
chr1	0	500000	cell44	0.38125
chr1	0	500000	cell45	0.31613
chr1	0	500000	cell46	0.4127
chr1	0	500000	cell47	0.30435
chr1	0	500000	cell48	0.30723
chr1	0	500000	cell49	0.34545
chr1	0	500000	cell50	0.3189
chr1	0	500000	cell51	0.275
chr1	0	500000	cell52	0.47959
chr1	0	500000	cell53	0.35
chr1	0	500000	cell54	0.42529
chr1	0	500000	cell55	0.28729
chr1	0	500000	cell56	0.26699
chr1	0	500000	cell57	0.34188
chr1	0	500000	cell58	0.3125
chr1	0	500000	cell59	0.44444
chr1	0	500000	cell60	0.34127
chr1	0	500000	cell61	0.33333
chr1	0	500000	cell62	0.28369
chr1	0	500000	cell63	0.35606
chr1	0	500000	cell64	0.32117
chr1	0	500000	cell65	0.3253
chr1	0	500000	cell66	0.43902
chr1	0	500000	cell67	0.33333
chr1	0	500000	cell68	0.30702
chr1	0	500000	cell69	0.36697
chr1	0	500000	cell70	0.39056
chr1	0	500000	cell71	0.30717
chr1	0	500000	cell72	0.28431
chr1	0	500000	cell73	0.43056
chr1	0	500000	cell74	0.36364
chr1	0	500000	cell75	0.33051
chr1	0	500000	cell76	0.31111
chr1	0	500000	cell77	0.26786
chr1	0	500000	cell78	0.33333
chr1	0	500000	cell79	0.31677
chr1	0	500000	cell80	0.33588
chr1	0	500000	cell81	0.38971
chr1	0	500000	cell82	0.44118
