cell	cell_index	clone_assignment	segment	start_bin	end_bin	cn_A	cn_B	total_cn	loh
cell0	0	3	0	0	46	1	2	3	False
cell0	0	3	1	47	74	1	2	3	False
cell0	0	3	2	75	80	1	2	3	False
cell0	0	3	3	81	83	1	2	3	False
cell0	0	3	4	84	86	1	2	3	False
cell0	0	3	5	87	89	1	2	3	False
cell0	0	3	6	90	243	1	2	3	False
cell0	0	3	7	244	497	1	1	2	False
cell1	1	3	0	0	46	1	2	3	False
cell1	1	3	1	47	74	1	2	3	False
cell1	1	3	2	75	80	1	2	3	False
cell1	1	3	3	81	83	1	2	3	False
cell1	1	3	4	84	86	1	2	3	False
cell1	1	3	5	87	89	1	2	3	False
cell1	1	3	6	90	243	1	2	3	False
cell1	1	3	7	244	497	1	1	2	False
cell2	2	3	0	0	46	1	2	3	False
cell2	2	3	1	47	74	1	2	3	False
cell2	2	3	2	75	80	1	2	3	False
cell2	2	3	3	81	83	1	2	3	False
cell2	2	3	4	84	86	1	2	3	False
cell2	2	3	5	87	89	1	2	3	False
cell2	2	3	6	90	243	1	2	3	False
cell2	2	3	7	244	497	1	1	2	False
cell3	3	3	0	0	46	1	2	3	False
cell3	3	3	1	47	74	1	2	3	False
cell3	3	3	2	75	80	1	2	3	False
cell3	3	3	3	81	83	1	2	3	False
cell3	3	3	4	84	86	1	2	3	False
cell3	3	3	5	87	89	1	2	3	False
cell3	3	3	6	90	243	1	2	3	False
cell3	3	3	7	244	497	1	1	2	False
cell4	4	4	0	0	46	1	2	3	False
cell4	4	4	1	47	74	1	2	3	False
cell4	4	4	2	75	80	1	2	3	False
cell4	4	4	3	81	83	1	2	3	False
cell4	4	4	4	84	86	1	2	3	False
cell4	4	4	5	87	89	1	2	3	False
cell4	4	4	6	90	243	1	2	3	False
cell4	4	4	7	244	497	1	1	2	False
cell5	5	7	0	0	46	1	1	2	False
cell5	5	7	1	47	74	2	1	3	False
cell5	5	7	2	75	80	2	0	2	True
cell5	5	7	3	81	83	1	0	1	True
cell5	5	7	4	84	86	0	0	0	False
cell5	5	7	5	87	89	1	0	1	True
cell5	5	7	6	90	243	1	1	2	False
cell5	5	7	7	244	497	1	1	2	False
cell6	6	7	0	0	46	1	1	2	False
cell6	6	7	1	47	74	2	1	3	False
cell6	6	7	2	75	80	2	0	2	True
